3.6678 	INFO 	Loaded monitor calibration from ['2024_08_09 11:30']
3.9190 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251EF20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251EEC0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251ED10>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023FF25F0550>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 290.0], screen=0, size=array([800, 500]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.9191 	EXP 	window1: backgroundImage = ''
3.9191 	EXP 	window1: backgroundFit = 'none'
3.9193 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9195 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9233 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9241 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9460 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9461 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9466 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9470 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023FF251F040>
3.9610 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.9610 	EXP 	window1: recordFrameIntervals = False
4.1377 	EXP 	window1: recordFrameIntervals = True
4.3197 	EXP 	Screen (0) actual frame rate measured at 59.54Hz
4.3197 	EXP 	window1: recordFrameIntervals = False
4.3199 	EXP 	window1: mouseVisible = True
4.3299 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
5.8260 	INFO 	keyboard.Keyboard is using iohub backend.
5.8261 	EXP 	visual_search1: status = STARTED
5.8264 	EXP 	window1: mouseVisible = True
